Time,X1_um,Y1_um,Z1_um,X2_um,Y2_um,Z2_um
0.07,169.607517703424,-473.311745661009,-169.60751770344,-165.848956184517,-476.12512074633,165.848956184516
0.074,179.72189648801,-501.064450377023,-179.721896488018,-175.480196380862,-504.218787919543,175.480196380861
0.077,187.316670863226,-521.872421895143,-187.316670863237,-182.694523146024,-525.295275436523,182.69452314602
0.08,194.919148885128,-542.674766771827,-194.919148885136,-189.901044814145,-546.377102649945,189.901044814135
0.084,205.067766095135,-570.402464195735,-205.067766095156,-199.497595694535,-574.494501804378,199.497595694531
0.087,212.688211183122,-591.191658063268,-212.688211183142,-206.685897788786,-595.588765827111,206.685897788775
0.09,220.316352961686,-611.97520628236,-220.316352961704,-213.866388207654,-616.688350272156,213.866388207648
0.094,230.499177681184,-639.67781193857,-230.499177681196,-223.428220535109,-644.829395745054,223.428220535108
0.097,238.145270267588,-660.448164818889,-238.145270267594,-230.590476058452,-665.941372007546,230.590476058455
0.1,245.799052565027,-681.21285306099,-245.799052565047,-237.744913351885,-687.058649402036,237.744913351887
0.104,256.01605377381,-708.89028255048,-256.016053773827,-247.271997995194,-715.223255458627,247.271997995187
0.107,263.687770566158,-729.641731164375,-263.68777056617,-254.408185126995,-736.352879640932,254.408185126989
0.11,271.367170066587,-750.387496167529,-271.367170066601,-261.536547498172,-757.487785648756,261.536547498163
0.114,281.618316640364,-778.03966516786,-281.618316640376,-271.02885543194,-785.675866482469,271.028855431936
0.117,289.315634268129,-798.772146293744,-289.315634268148,-278.138952430965,-806.823074210886,278.138952430963
0.12,297.020627577582,-819.49892485364,-297.020627577597,-285.241218162507,-827.975544442243,285.241218162507
0.124,307.305888288041,-847.125749119403,-307.305888288051,-294.698720467321,-856.18701417501,294.698720467322
0.127,315.028783302682,-867.839199593427,-315.028783302691,-301.782705671841,-877.351741022249,301.782705671838
0.13,322.759346949281,-888.546928563605,-322.759346949282,-308.858853125857,-898.521711033828,308.858853125855
0.134,333.078690464152,-916.148323926579,-333.078690464172,-318.281520988332,-926.756483716339,318.281520988329
0.137,340.82713933923,-936.842680642903,-340.827139339241,-325.339372816147,-947.938665201743,325.339372816143
0.14,348.583249773132,-957.53129693496,-348.583249773149,-332.389380434318,-969.126070496915,332.38938043432
0.144,358.93664465636,-985.107179304369,-358.936644656374,-341.777185147198,-997.384060108845,341.777185147195
0.147,366.710623787563,-1005.7823792153,-366.710623787576,-348.808882095736,-1018.58363169859,348.808882095728
0.151,377.087835868623,-1033.34035249686,-377.087835868633,-358.172265579923,-1046.85782194115,358.172265579918
0.154,384.879672092921,-1054.00210516187,-384.879672092932,-365.185641361593,-1068.06952817793,365.185641361587
0.157,392.679157798184,-1074.65808527808,-392.679157798199,-372.191162007943,-1089.28642528522,372.19116200794
0.161,403.090367568221,-1102.1904027903,-403.090367568236,-381.519633783974,-1117.58368606046,381.519633783977
0.164,410.907693742878,-1122.8328916029,-410.907693742888,-388.506818314885,-1138.8126725726,388.506818314881
0.167,418.732662262417,-1143.46958899361,-418.732662262431,-395.486141315911,-1160.04683055785,395.486141315914
0.171,429.177838005501,-1170.97616685623,-429.177838005526,-404.779672963478,-1188.36707565511,404.779672963469
0.174,437.020630316406,-1191.59932892674,-437.020630316417,-411.740644956325,-1209.6132777662,411.740644956324
0.177,444.871057812817,-1212.21668071993,-444.871057812819,-418.693749048675,-1230.86463193722,418.693749048687
0.181,455.350167709527,-1239.69743513099,-455.35016770954,-427.952312253919,-1259.20777507579,427.952312253916
0.184,463.218402264945,-1260.30120762863,-463.218402264949,-434.887050501279,-1280.47112805696,434.887050501281
0.187,471.094264823231,-1280.89915101121,-471.094264823252,-441.813914501502,-1301.73961366921,441.813914501499
0.191,481.607276950777,-1308.35399824753,-481.60727695078,-451.037481057091,-1330.10556849863,451.037481057086
0.194,489.500929781492,-1328.93831840056,-489.500929781502,-457.945964431446,-1351.38600756876,457.945964431441
0.197,497.402203409221,-1349.51679061857,-497.402203409234,-464.846567235992,-1372.67155982548,464.846567235986
0.201,507.949085741491,-1376.94564703584,-507.949085741506,-474.035109041218,-1401.06023992578,474.035109041212
0.204,515.868132800863,-1397.51045213177,-515.868132800879,-480.917316495036,-1422.35770025172,480.917316495034
0.207,523.794793428151,-1418.06939049055,-523.794793428156,-487.79163708039,-1443.66025430417,487.791637080391
0.211,534.375513835894,-1445.47217252368,-534.375513835908,-496.945126141242,-1472.07157318618,496.945126141245
0.214,542.319930999874,-1466.01739990954,-542.31993099989,-503.801036707038,-1493.38598988289,503.801036707036
0.217,550.271954479514,-1486.55674177395,-550.271954479519,-510.649054129744,-1514.70548083054,510.649054129749
0.221,560.886480730362,-1513.9333659372,-560.886480730377,-519.767462559009,-1543.13935193608,519.767462559007
0.224,568.856243797662,-1534.45895301961,-568.856243797678,-526.597055349409,-1564.47066006692,526.597055349412
0.227,576.833605905165,-1554.97863581424,-576.83360590518,-533.418748746142,-1585.80702295762,533.418748746143
0.231,587.481905663802,-1582.32901870162,-587.481905663815,-542.502048763466,-1614.26335965984,542.502048763459
0.234,595.476990355899,-1602.83490294705,-595.476990355909,-549.30530297128,-1635.61149423665,549.305302971273
0.237,603.479666789579,-1623.33486415633,-603.479666789593,-556.100651558915,-1656.96466406687,556.10065155891
0.241,614.161707617741,-1650.6589224418,-614.161707617748,-565.148815490878,-1685.44337967048,565.14881549088
0.244,622.182089578975,-1671.14504137673,-622.182089578979,-571.925710389158,-1706.80827565384,571.925710389155
0.247,630.210055960038,-1691.62521854519,-630.210055960051,-578.694693464818,-1728.17818736886,578.694693464818
0.251,640.92580531672,-1718.9228689829,-640.925805316731,-587.707693745096,-1756.67919511036,587.707693745095
0.254,648.971460114334,-1739.38916019407,-648.971460114345,-594.458208687178,-1778.06078740985,594.458208687179
0.258,659.710786024073,-1766.66827565013,-659.710786024082,-603.446578066651,-1806.57734798723,603.446578066654
0.261,667.774117228452,-1787.12065035104,-667.774117228459,-610.178614797674,-1827.97058895192,610.178614797673
0.264,675.845020352738,-1807.56705148551,-675.84502035275,-616.902729217272,-1849.36881242619,616.902729217277
0.268,686.617999235618,-1834.81961776064,-686.617999235623,-625.855888328156,-1877.90751748784,625.855888328157
0.271,694.706561564087,-1855.25205877388,-694.706561564094,-632.561510188145,-1899.31734399823,632.561510188145
0.274,702.802688428386,-1875.67850753939,-702.802688428395,-639.259203599404,-1920.7321334553,639.259203599401
0.278,713.609287466367,-1902.90444160548,-713.609287466378,-648.17712516476,-1949.29289605497,648.177125164755
0.281,721.723056278482,-1923.31688668131,-721.723056278482,-654.85631172419,-1970.71924288373,654.856311724199
